name,sku,barcode,category,retail_price,wholesale_price,modal_price,stock
Mie Goreng Sedaap,AVR-00001,8998866200301,Makanan,3000.0,2850.0,2125.0,10000
PENSIL STAEDTLER,AVR-00002,4007817104118,Alat Tulis,4000.0,3800.0,2516.0,10000
Snowman Boardmarker Perma,AVR-00003,4970129726517,Alat Tulis,10000.0,9500.0,6100.0,10000
Pen K103 0.5,AVR-00004,6937924701031,Alat Tulis,10000.0,9500.0,6500.0,10000
Pen BrillianceCenter,AVR-00005,6931069216160,Alat Tulis,6000.0,5700.0,4100.0,10000
Pen O.S Office,AVR-00006,6937924701819,Alat Tulis,10000.0,9500.0,6100.0,10000
Penggaris 30 cm,AVR-00007,1811232335292,Alat Tulis,1500.0,1425.0,850.0,10000
Pensil Warna Montana Panjang,AVR-00008,18997210107836,Alat Tulis,20000.0,19000.0,16100.0,10000
Pensil Warna Pendek,AVR-00009,8997210108379,Alat Tulis,15000.0,14250.0,11200.0,10000
Pen  0.5 Rainbow,AVR-00010,6937924700959,Alat Tulis,10000.0,9500.0,7500.0,10000
Pen Standard Ac,AVR-00011,1100120010473,Alat Tulis,2000.0,1900.0,1500.0,10000
Pen Frozen,AVR-00012,6956953587058,Alat Tulis,3000.0,2850.0,2100.0,10000
Pen MX 2000,AVR-00013,8997210106177,Alat Tulis,2000.0,1900.0,750.0,10000
Tipe Ex Montana,AVR-00014,8997210108881,Alat Tulis,5000.0,4750.0,3100.0,10000
Ballpoint Nevada,AVR-00015,8904146 800758,Alat Tulis,3000.0,2850.0,1600.0,10000
lem astro,AVR-00016,6947355100408,Alat Tulis,3000.0,2850.0,2100.0,10000
Pengerotan Man,AVR-00017,1812011157579,Alat Tulis,500.0,475.0,300.0,10000
Singlet Halus Golden Nick,AVR-00018,SLT011,Pakaian,17000.0,16150.0,9416.0,10000
Miniset Daifona,AVR-00019,MST682,Pakaian,20000.0,19000.0,11916.0,10000
Miniset Eloise,AVR-00020,MNST00,Pakaian,15000.0,14250.0,8333.0,10000
CD Haswell,AVR-00021,BF6641,Pakaian,18000.0,17100.0,10416.0,10000
Handuk Warna Campur,AVR-00022,HDK101,Pakaian,45000.0,42750.0,24500.0,10000
Boxer Calvin Klein M Bagu,AVR-00023,CK929,Pakaian,17000.0,16150.0,12900.0,10000
Boxer Calvin Klein,AVR-00024,CK3118,Pakaian,15000.0,14250.0,9500.0,10000
CD Anak 803,AVR-00025,CD803,Pakaian,5000.0,4750.0,2333.0,10000
Boxer Anak Agatos,AVR-00026,AGATOS669,Pakaian,11000.0,10450.0,5500.0,10000
